country1,country2,Year,type,asymmetry
RUS,GAB,2002,sector,2
RUS,CHA,2000,sector,2
RUS,CON,2001,sector,0
RUS,DRC,1999,sector,2
RUS,DRC,2001,sector,2
RUS,UGA,2003,sector,2
RUS,TAZ,1998,general,0
RUS,ETH,1995,sector,2
RUS,ETH,2001,sector,2
RUS,ETH,2002,sector,2
RUS,ERI,1997,sector,2
RUS,ANG,1993,sector,2
RUS,ANG,1998,sector,2
RUS,ANG,2006,sector,2
RUS,ZIM,1999,sector,2
RUS,SAF,1995,general,1
RUS,SAF,1995,general,0
RUS,NAM,1996,sector,2
RUS,ALG,1999,sector,2
RUS,ALG,2000,general,1
RUS,LIB,1999,sector,2
RUS,SUD,2008,sector,0
RUS,IRN,2001,sector,1
RUS,TUR,1993,general,1
RUS,TUR,1994,general,0
RUS,TUR,2002,general,0
RUS,SYR,1994,sector,0
RUS,LEB,2010,sector,2
RUS,JOR,2001,general,0
RUS,ISR,1995,sector,0
RUS,ISR,2010,general,0
RUS,SAU,2008,general,0
RUS,YEM,1998,sector,2
RUS,KUW,1993,sector,0
RUS,QAT,1998,general,1
RUS,TAJ,1993,general,1
RUS,TAJ,1994,general,0
RUS,TAJ,1996,general,1
RUS,KYR,1993,general,1
RUS,KYR,1994,general,0
RUS,KYR,1996,general,2
RUS,KYR,1999,sector,1
RUS,UZB,1994,general,0
RUS,UZB,1994,general,1
RUS,UZB,1995,general,1
RUS,UZB,1995,general,0
RUS,UZB,1999,general,0
RUS,KZK,1993,general,0
RUS,KZK,1994,general,0
RUS,KZK,1994,general,1
RUS,KZK,1994,sector,2
RUS,KZK,2009,general,1
RUS,CHN,1992,sector,1
RUS,CHN,1992,sector,1
RUS,CHN,1993,sector,0
RUS,CHN,1995,sector,0
RUS,CHN,1995,sector,0
RUS,CHN,1996,sector,0
RUS,CHN,1996,sector,0
RUS,CHN,1999,sector,0
RUS,CHN,2000,general,0
RUS,CHN,2010,sector,0
RUS,MON,1993,sector,1
RUS,MON,1997,sector,0
RUS,PRK,2001,general,0
RUS,KOR,1992,sector,1
RUS,KOR,1995,sector,0
RUS,ROK,1997,general,0
RUS,JPN,1999,sector,1
RUS,JPN,2006,sector,1
RUS,IND,1993,general,0
RUS,IND,1994,sector,0
RUS,IND,1998,sector,1
RUS,IND,1999,sector,1
RUS,IND,2009,general,1
RUS,BNG,1999,sector,2
RUS,MYA,2001,sector,2
RUS,SRI,2004,sector,2
RUS,CAM,1995,sector,2
RUS,LAO,2007,sector,0
RUS,DRV,1998,sector,2
RUS,MAL,1994,sector,1
RUS,MAL,1999,general,1
RUS,INS,1996,general,0
RUS,INS,2003,general,0
RUS,INS,2006,sector,0
EST,UKR,1994,general,0
EST,UKR,2003,general,0
EST,ARM,2005,general,0
EST,GRG,2001,general,0
EST,AZE,2007,general,0
EST,FIN,1996,general,0
EST,SWD,2010,sector,0
EST,NOR,1995,general,0
EST,DEN,1994,general,0
EST,TUR,1995,general,0
EST,TUR,2002,general,0
LAT,UKR,1994,general,0
LAT,UKR,2010,general,0
LAT,BLR,2004,general,1
LAT,ARM,2005,general,0
LAT,GRG,2002,general,0
LAT,GRG,2008,sector,1
LAT,AZE,2005,general,0
LAT,FIN,2001,general,1
LAT,SWD,2002,general,1
LAT,NOR,1995,general,0
LAT,NOR,2007,general,0
LAT,DEN,1994,general,0
LAT,TUR,1997,general,0
LAT,TUR,1999,sector,0
LAT,TUR,2000,general,0
LAT,ISR,2005,general,0
LAT,CHN,2006,general,0
LIT,UKR,2000,general,1
LIT,UKR,2001,sector,1
LIT,BLR,2010,general,0
LIT,ARM,2002,general,0
LIT,ARM,2004,sector,1
LIT,GRG,2001,general,0
LIT,AZE,2002,general,1
LIT,AZE,2004,sector,1
LIT,FIN,2001,general,0
LIT,FIN,2005,general,1
LIT,NOR,1995,general,0
LIT,DEN,1994,general,0
LIT,TUR,1995,general,1
LIT,TUR,1999,sector,0
LIT,TUR,2004,general,0
LIT,KYR,2008,general,1
LIT,UZB,2002,general,1
LIT,KZK,2008,general,1
LIT,CHN,2006,general,0
LIT,ROK,2010,general,1
UKR,BLR,1992,general,0
UKR,BLR,1992,sector,0
UKR,BLR,1992,general,0
UKR,BLR,1994,sector,0
UKR,BLR,2000,general,1
UKR,BLR,2001,general,0
UKR,BLR,2005,sector,0
UKR,BLR,2006,sector,1
UKR,ARM,2002,general,0
UKR,GRG,1995,general,0
UKR,GRG,1996,sector,0
UKR,GRG,1996,sector,0
UKR,GRG,1997,sector,1
UKR,GRG,2005,sector,1
UKR,AZE,1997,general,0
UKR,AZE,1997,sector,0
UKR,AZE,1997,sector,0
UKR,AZE,2000,general,1
UKR,AZE,2004,general,1
UKR,AZE,2008,sector,0
UKR,FIN,2001,general,0
UKR,SWD,2001,general,1
UKR,NOR,1999,general,0
UKR,DEN,1996,general,1
UKR,DEN,2006,general,1
UKR,EQG,2004,sector,1
UKR,EQG,2005,general,1
UKR,GAM,2002,general,1
UKR,GUI,2009,sector,0
UKR,UGA,1995,general,1
UKR,SAF,1995,general,0
UKR,SAF,1995,general,0
UKR,ALG,2008,sector,2
UKR,LIB,2009,sector,2
UKR,TUR,1994,general,0
UKR,TUR,1997,sector,0
UKR,TUR,1998,general,0
UKR,TUR,2007,general,0
UKR,IRQ,2004,sector,0
UKR,IRQ,2005,sector,0
UKR,ISR,1999,general,1
UKR,ISR,2005,general,1
UKR,TKM,1996,general,0
UKR,TKM,2005,general,0
UKR,TAJ,2005,general,1
UKR,TAJ,2008,sector,1
UKR,KYR,1997,general,0
UKR,UZB,1994,general,0
UKR,UZB,1994,sector,0
UKR,UZB,1994,general,0
UKR,UZB,1998,general,0
UKR,UZB,2000,sector,1
UKR,KZK,1994,general,1
UKR,KZK,1995,sector,0
UKR,KZK,1997,general,0
UKR,KZK,2005,general,0
UKR,KZK,2010,general,0
UKR,CHN,1995,general,1
UKR,CHN,1995,general,0
UKR,CHN,2002,general,0
UKR,MON,2003,general,0
UKR,ROK,2006,general,1
UKR,ROK,2006,general,0
UKR,IND,1992,sector,0
UKR,IND,2009,general,0
UKR,PAK,2006,general,0
UKR,SRI,2010,sector,2
UKR,MAL,2007,general,0
UKR,INS,1996,general,0
BLR,ARM,1999,general,0
BLR,ARM,2001,general,0
BLR,ARM,2002,sector,1
BLR,AZE,2004,general,0
BLR,AZE,2004,general,1
BLR,NIG,2010,general,0
BLR,SAF,2006,general,0
BLR,SUD,2006,sector,1
BLR,IRN,1995,sector,0
BLR,IRN,1998,sector,1
BLR,IRN,2007,general,0
BLR,TUR,1997,general,0
BLR,TUR,1998,general,0
BLR,TUR,2010,general,0
BLR,SYR,1998,general,0
BLR,SYR,2010,general,0
BLR,LEB,2004,general,0
BLR,JOR,2008,general,0
BLR,QAT,2008,general,0
BLR,UAE,2007,general,0
BLR,TKM,2010,general,0
BLR,TAJ,1998,general,0
BLR,TAJ,1998,general,0
BLR,KYR,2000,general,1
BLR,UZB,1994,general,1
BLR,KZK,1998,general,0
BLR,KZK,1998,general,0
BLR,CHN,1996,general,0
BLR,CHN,1996,general,0
BLR,CHN,2005,sector,0
BLR,CHN,2006,general,1
BLR,CHN,2010,general,0
BLR,IND,1993,general,0
BLR,DRV,2009,sector,1
ARM,GRG,2001,general,0
ARM,IRN,2002,general,0
ARM,IRN,2007,general,1
ARM,SYR,2001,general,0
ARM,LEB,2001,general,0
ARM,KYR,2002,general,1
ARM,CHN,1997,general,1
ARM,IND,2003,general,0
GRG,AZE,2002,general,1
GRG,TUR,1996,general,1
GRG,TUR,1997,sector,1
GRG,TUR,1998,general,0
GRG,TUR,2001,general,0
GRG,TUR,2002,sector,0
GRG,ISR,1999,general,0
GRG,UZB,1995,general,1
GRG,UZB,1996,general,0
GRG,UZB,1996,general,0
GRG,KZK,1997,general,0
GRG,KZK,1997,general,1
AZE,IRN,2005,general,0
AZE,TUR,2000,general,0
AZE,TUR,2010,sector,0
AZE,JOR,2007,sector,0
AZE,BAH,2008,general,0
AZE,TAJ,2006,general,1
AZE,TAJ,2010,sector,1
AZE,KYR,2004,general,1
AZE,KYR,2005,sector,1
AZE,UZB,2009,general,0
AZE,KZK,2004,general,0
AZE,KZK,2007,general,0
AZE,KZK,2009,sector,1
AZE,CHN,2000,general,0
AZE,PAK,2002,general,0
AZE,PAK,2005,sector,0
AZE,PAK,2007,general,0
FIN,SWD,1995,general,1
FIN,UAE,2007,general,1
SWD,NOR,1983,sector,0
SWD,SAF,2000,general,0
SWD,SAU,2005,general,0
SWD,ROK,2009,general,1
SWD,IND,2009,general,0
SWD,THI,1998,sector,1
SWD,MAL,1994,general,0
SWD,AUL,1994,general,0
SWD,AUL,2005,general,0
NOR,ICE,2007,general,1
NOR,TUR,1993,general,0
NOR,KOR,2008,sector,0
NOR,AUL,1990,general,1
CAP,ANG,2003,general,0
GNB,ANG,2010,general,1
GNB,SAF,2007,general,0
EQG,SAF,2004,sector,0
GAM,TUR,1990,sector,1
GAM,TUR,1999,general,1
GAM,TUR,2009,general,0
GAM,PAK,1998,sector,0
MLI,SAF,2005,general,0
MLI,TUR,2000,sector,1
MLI,TUR,2000,general,1
SEN,SAF,2008,general,0
SEN,TUR,1998,general,1
SEN,TUR,1998,sector,1
BEN,GAB,2010,sector,0
BEN,SAF,2008,general,0
MAA,TUR,2002,sector,1
BFO,TUR,2001,general,1
BFO,TUR,2001,sector,1
LBR,NIG,2007,sector,1
LBR,RWA,2008,general,0
GHA,NIG,2004,sector,0
GHA,SAF,2000,sector,0
TOG,SAF,1997,general,0
CAO,CEN,2006,sector,0
NIG,SAF,2001,general,0
NIG,JOR,2006,general,0
NIG,IND,2007,general,0
NIG,PAK,2010,general,0
NIG,PAK,2010,general,0
GAB,SAF,2006,general,0
CEN,SAF,2007,general,0
CHA,LIB,1980,general,0
CHA,EGY,2009,general,1
CON,SAF,2008,general,0
CON,TUR,2005,general,1
CON,CHN,2000,sector,1
DRC,ZIM,2000,general,0
DRC,SAF,2004,general,0
DRC,ISR,1983,sector,1
UGA,ANG,2005,sector,0
UGA,EGY,1988,sector,0
KEN,RWA,2000,sector,1
TAZ,BUI,2008,sector,0
RWA,ETH,2010,general,0
RWA,ZIM,1998,sector,1
RWA,SAF,2004,general,0
SOM,SAF,1985,general,0
SOM,TUR,2010,general,0
ETH,SAF,2009,general,0
ETH,TUR,2006,general,0
ETH,TUR,2010,general,0
ETH,TUR,2010,general,0
ETH,ISR,1989,sector,1
ANG,MZM,2010,general,0
ANG,ZIM,2006,general,0
ANG,SAF,2005,general,1
MZM,MZM,1982,sector,1
MZM,ZIM,1988,general,0
MZM,SAF,2000,general,0
MZM,SAF,2007,sector,0
MZM,LIB,2002,sector,0
MZM,IRN,1996,general,0
MZM,IND,2006,sector,1
ZAM,SAF,2002,general,0
ZIM,SAF,1996,general,0
ZIM,SAF,2005,sector,0
ZIM,EGY,1993,general,1
ZIM,CHN,2006,sector,1
ZIM,PAK,2007,sector,1
MAW,SAF,2008,general,0
SAF,NAM,1997,sector,0
SAF,NAM,1997,general,0
SAF,LES,2000,general,0
SAF,BOT,2000,sector,0
SAF,ALG,1998,sector,0
SAF,ALG,2000,general,0
SAF,TUN,2005,general,0
SAF,SUD,2007,general,0
SAF,IRN,2004,general,0
SAF,JOR,2000,general,0
SAF,SAU,2003,general,0
SAF,KUW,2002,general,0
SAF,QAT,2002,general,1
SAF,QAT,2008,sector,0
SAF,UAE,1999,general,0
SAF,CHN,2001,general,1
SAF,IND,1996,sector,0
SAF,IND,2000,general,0
SAF,IND,2003,sector,0
SAF,PAK,1998,general,0
SAF,DRV,2006,general,0
SAF,MAL,1996,general,1
SAF,SIN,1997,general,1
SAF,SIN,1998,sector,0
SAF,INS,2008,general,0
SEY,UAE,2009,general,0
MOR,QAT,2010,sector,0
MOR,UAE,2006,sector,0
ALG,TUN,1983,general,1
ALG,TUN,2001,general,0
ALG,TUR,2003,general,0
ALG,TUR,2009,sector,1
ALG,DRV,2008,sector,0
TUN,TUR,1990,general,1
TUN,TUR,1999,general,0
TUN,EGY,2001,sector,0
LIB,SUD,1985,general,1
SUD,IRN,2008,general,0
SUD,SYR,1998,general,0
SUD,CHN,2007,general,0
SUD,PAK,2005,general,0
SUD,MAL,2004,general,1
IRN,IRQ,2008,general,0
IRN,SYR,1997,general,0
IRN,SYR,2007,general,0
IRN,SYR,2009,sector,1
IRN,LEB,2008,sector,0
IRN,KUW,2002,general,0
IRN,QAT,2010,general,0
IRN,OMA,1998,sector,0
IRN,OMA,2010,general,0
IRN,TAJ,1998,general,0
IRN,TAJ,2005,general,0
IRN,TAJ,2010,general,0
IRN,CHN,1990,sector,0
IRN,PRK,1989,general,0
IRN,IND,2001,general,0
IRN,IND,2003,general,1
IRN,PAK,1989,general,1
IRN,PAK,2002,general,0
IRN,PAK,2003,general,0
TUR,IRQ,2009,general,1
TUR,EGY,1991,general,0
TUR,EGY,2009,general,1
TUR,SYR,2002,general,1
TUR,SYR,2009,general,0
TUR,LEB,2009,sector,1
TUR,LEB,2010,general,0
TUR,JOR,1984,sector,1
TUR,JOR,1996,sector,0
TUR,ISR,1996,general,0
TUR,ISR,1996,sector,0
TUR,SAU,2010,general,1
TUR,BAH,2007,general,0
TUR,QAT,2007,general,0
TUR,UAE,2002,sector,0
TUR,OMA,2001,sector,0
TUR,AFG,2003,general,1
TUR,AFG,2003,sector,1
TUR,TKM,1992,sector,1
TUR,KYR,2000,general,1
TUR,KYR,2008,general,0
TUR,KZK,1993,sector,1
TUR,KZK,1994,general,0
TUR,KZK,1996,sector,1
TUR,KZK,1996,general,1
TUR,MON,2001,general,0
TUR,ROK,1999,general,0
TUR,ROK,1999,sector,0
TUR,KOR,2006,general,0
TUR,PAK,1987,general,1
TUR,PAK,1993,general,0
TUR,PAK,1995,general,0
TUR,PAK,2001,general,0
TUR,PAK,2004,general,0
TUR,BNG,1981,sector,1
TUR,BNG,1997,general,1
TUR,BNG,2002,general,1
TUR,MAD,2010,general,0
TUR,MAL,1984,sector,1
TUR,MAL,1999,general,1
TUR,SIN,1991,sector,0
TUR,INS,2010,general,0
TUR,AUL,2006,general,0
IRQ,EGY,2009,general,1
IRQ,JOR,2010,sector,0
EGY,SAU,1993,sector,0
EGY,KUW,1987,sector,0
EGY,ROK,2009,general,1
EGY,IND,2008,sector,0
EGY,PAK,2002,sector,0
LEB,JOR,2010,general,0
JOR,YEM,2006,general,0
JOR,CHN,2009,general,0
JOR,ROK,2009,general,0
SAU,PAK,2006,general,0
KUW,CHN,1995,general,1
KUW,ROK,2004,sector,0
KUW,BNG,1980,general,0
KUW,BNG,2004,sector,0
QAT,MON,2007,sector,0
QAT,IND,2008,general,0
UAE,ROK,2006,general,0
UAE,IND,2003,general,0
UAE,PAK,2006,general,0
UAE,AUL,2007,general,0
OMA,IND,2002,sector,0
OMA,IND,2005,general,0
TKM,UZB,1996,general,1
TAJ,KYR,2004,general,1
TAJ,KZK,1999,general,0
TAJ,KZK,1999,general,0
TAJ,CHN,1998,sector,0
TAJ,IND,2002,sector,1
TAJ,PAK,2009,general,0
KYR,UZB,1996,general,1
KYR,UZB,2000,general,1
KYR,KZK,1995,general,1
KYR,KZK,1997,general,0
KYR,KZK,1998,sector,1
KYR,KZK,2001,general,0
KYR,KZK,2004,sector,1
KYR,CHN,2004,general,0
KYR,IND,2003,sector,0
UZB,CHN,2000,general,0
UZB,KOR,2008,sector,0
UZB,IND,2005,general,0
KZK,MON,2006,general,0
KZK,ROK,2006,sector,1
KZK,ROK,2010,general,1
KZK,IND,2002,general,0
KZK,PAK,2005,general,0
CHN,TAW,1995,sector,0
CHN,KOR,2000,sector,0
CHN,KOR,2002,sector,0
CHN,KOR,2007,sector,0
CHN,JPN,1998,sector,0
CHN,JPN,2007,sector,0
CHN,IND,2006,sector,0
CHN,PAK,1989,general,0
CHN,PAK,1990,general,0
CHN,PAK,2002,general,0
CHN,PAK,2003,general,0
CHN,PAK,2006,general,1
CHN,PAK,2008,general,0
CHN,PAK,2010,general,0
CHN,BNG,2002,general,0
CHN,MYA,1997,sector,0
CHN,DRV,2007,general,0
CHN,MAL,1999,general,0
CHN,MAL,2005,general,1
CHN,SIN,1997,sector,0
CHN,SIN,2008,general,0
CHN,BRU,2003,sector,1
CHN,PHI,1996,sector,0
CHN,PHI,2004,sector,0
CHN,PHI,2005,sector,0
CHN,INS,2005,sector,0
CHN,INS,2007,general,0
CHN,INS,2008,general,0
MON,KOR,1999,sector,0
MON,IND,2001,general,0
MON,IND,2005,sector,0
KOR,JPN,1992,sector,1
KOR,JPN,1995,sector,0
ROK,IND,2010,sector,0
ROK,IND,2010,general,0
KOR,PAK,1996,sector,0
ROK,BNG,2004,general,0
ROK,THI,1996,general,0
KOR,THI,1997,sector,0
KOR,THI,2008,general,0
KOR,DRV,1999,sector,0
KOR,DRV,2000,sector,0
KOR,MAL,2009,general,0
ROK,SIN,2009,general,0
ROK,PHI,1994,general,0
ROK,INS,1995,general,1
KOR,INS,2006,sector,0
JPN,IND,1997,sector,0
JPN,DRV,1997,sector,0
JPN,SIN,2009,sector,1
JPN,AUL,2003,sector,1
JPN,AUL,2008,sector,1
IND,IND,2006,sector,0
IND,SRI,2004,general,0
IND,CAM,2007,general,1
IND,DRV,1994,general,0
IND,DRV,2000,general,1
IND,DRV,2007,general,0
IND,MAL,1993,general,1
IND,MAL,2008,general,0
IND,SIN,2003,general,0
IND,SIN,2005,sector,0
IND,SIN,2007,sector,1
IND,SIN,2008,sector,0
IND,PHI,2006,general,0
IND,INS,2001,general,0
PAK,MAL,1997,general,1
PAK,MAL,2001,sector,0
PAK,MAL,2005,general,0
PAK,BRU,2004,sector,1
PAK,INS,2010,general,0
PAK,AUL,2010,general,0
THI,LAO,1989,general,1
THI,SIN,2004,sector,0
THI,SIN,2004,sector,1
THI,PHI,1997,general,0
LAO,DRV,1994,general,0
LAO,DRV,2005,general,0
LAO,DRV,2008,general,1
DRV,MAL,2008,general,1
DRV,SIN,2007,sector,0
DRV,SIN,2009,general,0
DRV,BRU,2005,general,1
DRV,PHI,2002,general,1
DRV,PHI,2010,sector,0
DRV,INS,2010,general,0
MAL,SIN,1995,general,0
MAL,BRU,1992,general,1
MAL,PHI,1994,general,0
MAL,INS,1992,general,1
MAL,INS,2006,general,0
MAL,NEW,1996,general,1
SIN,BRU,1981,general,1
SIN,PHI,1994,sector,0
SIN,INS,1989,sector,0
SIN,INS,2007,general,0
SIN,AUL,1988,sector,1
SIN,AUL,1993,sector,0
SIN,AUL,1996,sector,0
SIN,AUL,2008,general,0
SIN,NEW,2009,general,0
BRU,PHI,2001,general,0
BRU,INS,1999,sector,0
BRU,INS,2003,general,0
BRU,AUL,1999,general,1
PHI,INS,1997,general,0
PHI,AUL,1995,general,0
PHI,AUL,2007,general,1
INS,ETM,2009,sector,0
INS,AUL,1995,general,0
INS,AUL,2006,general,0
INS,AUL,2008,general,0
INS,PNG,1995,general,0
INS,PNG,2010,general,0